data, bandwidth
feedback|3 3|11|2|1|1681469244.4929228|                                                                                         ,13427.143657462986
decided|3 3|11|2|1|1681469244.505045|                                                                                           ,231310.17320120637
decided|3 3|11|2|1|1681469244.505045|                                                                                           ,330178.9126691267
feedback|2 4|12|1|1|1681469244.8085835|                                                                                         ,189640.02543270928
feedback|2 4|12|1|1|1681469244.8085835|                                                                                         ,281822.00104986876
ask|2 4|DEPOSIT m 21|4|1|1681469244.8090882|                                                                                    ,35618.05294234724
ask|2 4|DEPOSIT m 21|4|1|1681469244.8090882|                                                                                    ,40218.06217694209
feedback|2 4|11|3|1|1681469244.8123696|                                                                                         ,40378.37785800241
feedback|2 4|11|3|1|1681469244.8123696|                                                                                         ,45172.142364324776
decided|2 4|12|1|1|1681469244.8218172|                                                                                          ,164987.987707437
decided|2 4|12|1|1|1681469244.8218172|                                                                                          ,195438.99235529668
feedback|3 4|13|1|1|1681469245.3709123|                                                                                         ,297435.40831024933
feedback|3 4|13|1|1|1681469245.3709123|                                                                                         ,168615.23618090453
ask|3 4|DEPOSIT z 21|4|1|1681469245.3714163|                                                                                    ,38298.6811242688
ask|3 4|DEPOSIT z 21|4|1|1681469245.3714163|                                                                                    ,15226.92472630325
feedback|3 4|12|2|1|1681469245.373349|                                                                                          ,22341.69421556388
feedback|3 4|12|2|1|1681469245.373349|                                                                                          ,14550.530178605306
decided|3 4|13|1|1|1681469245.3837767|                                                                                          ,217532.78444084278
decided|3 4|13|1|1|1681469245.3837767|                                                                                          ,301105.3909141896
feedback|3 5|14|1|1|1681469245.6645427|                                                                                         ,324982.392251816
feedback|3 5|14|1|1|1681469245.6645427|                                                                                         ,149922.0642278693
ask|3 5|TRANSFER z -> e 53|5|1|1681469245.6652539|                                                                              ,34058.929899130875
feedback|3 5|14|2|1|1681469245.6674092|                                                                                         ,26992.001608848666
ask|3 5|TRANSFER z -> e 53|5|1|1681469245.6652539|                                                                              ,16076.867461220578
feedback|3 5|14|2|1|1681469245.6674092|                                                                                         ,14436.282556669983
decided|3 5|14|1|1|1681469245.6781266|                                                                                          ,327760.01953601954
decided|3 5|14|1|1|1681469245.6781266|                                                                                          ,373345.5577190542
feedback|2 5|15|1|1|1681469247.763627|                                                                                          ,263301.0848455125
feedback|2 5|15|1|1|1681469247.763627|                                                                                          ,327560.0439292251
ask|2 5|TRANSFER m -> a 14|5|1|1681469247.7640276|                                                                              ,40743.03043181301
ask|2 5|TRANSFER m -> a 14|5|1|1681469247.7640276|                                                                              ,28605.65387894288
feedback|2 5|13|3|1|1681469247.7675562|                                                                                         ,33797.35045640542
feedback|2 5|13|3|1|1681469247.7675562|                                                                                         ,34598.88586711349
decided|2 5|15|1|1|1681469247.778139|                                                                                           ,306083.7582668187
decided|2 5|15|1|1|1681469247.778139|                                                                                           ,201983.03686982693
feedback|2 6|16|1|1|1681469247.8429484|                                                                                         ,175104.6679712981
feedback|2 6|16|1|1|1681469247.8429484|                                                                                         ,338292.9502205419
ask|2 6|TRANSFER b -> a 3|6|1|1681469247.8433282|                                                                               ,34859.48392961496
feedback|2 6|16|3|1|1681469247.8455548|                                                                                         ,33068.734955343396
ask|2 6|TRANSFER b -> a 3|6|1|1681469247.8433282|                                                                               ,11737.448885002186
feedback|2 6|16|3|1|1681469247.8455548|                                                                                         ,11980.516647326609
decided|2 6|16|1|1|1681469247.8571365|                                                                                          ,201150.58523791682
decided|2 6|16|1|1|1681469247.8571365|                                                                                          ,55496.269588587966
ask|1 7|TRANSFER d -> q 46|7|1|1681469248.6661947|                                                                              ,263430.2806673209
ask|1 7|TRANSFER d -> q 46|7|1|1681469248.6661947|                                                                              ,218952.2479608483
feedback|1 7|15|2|1|1681469248.6720839|                                                                                         ,216392.95122934302
feedback|1 7|15|2|1|1681469248.6720839|                                                                                         ,360558.0335795836
decided|1 7|17|3|1|1681469248.674718|                                                                                           ,44806.45234518444
decided|1 7|17|3|1|1681469248.674718|                                                                                           ,52521.12228526707
feedback|1 7|17|3|1|1681469248.6815166|                                                                                         ,34007.152213846835
feedback|1 7|17|3|1|1681469248.6815166|                                                                                         ,35385.63880833114
ask|1 8|DEPOSIT r 54|8|1|1681469248.7186613|                                                                                    ,268033.4058911633
ask|1 8|DEPOSIT r 54|8|1|1681469248.7186613|                                                                                    ,198767.46094039246
feedback|1 8|18|2|1|1681469248.724937|                                                                                          ,293211.8580010923
feedback|1 8|18|2|1|1681469248.724937|                                                                                          ,191057.26405693952
decided|1 8|18|2|1|1681469248.7264564|                                                                                          ,65760.76825085742
decided|1 8|18|2|1|1681469248.7264564|                                                                                          ,43139.48670148654
feedback|1 8|18|3|1|1681469248.7307298|                                                                                         ,34587.74075505734
feedback|1 8|18|3|1|1681469248.7307298|                                                                                         ,29874.292582494018
ask|1 9|TRANSFER r -> m 27|9|1|1681469249.9148417|                                                                              ,167458.17592014972
ask|1 9|TRANSFER r -> m 27|9|1|1681469249.9148417|                                                                              ,225103.1077568134
feedback|1 9|19|3|1|1681469249.9215593|                                                                                         ,151146.0900900901
feedback|1 9|19|3|1|1681469249.9215593|                                                                                         ,258608.33911368015
decided|1 9|19|2|1|1681469249.9232283|                                                                                          ,54950.963357215966
decided|1 9|19|2|1|1681469249.9232283|                                                                                          ,32898.51780133587
feedback|1 9|19|2|1|1681469249.928894|                                                                                          ,36380.762485600055
feedback|1 9|19|2|1|1681469249.928894|                                                                                          ,40951.25186880244
ask|1 10|DEPOSIT b 93|10|1|1681469250.0801404|                                                                                  ,211117.14982304364
ask|1 10|DEPOSIT b 93|10|1|1681469250.0801404|                                                                                  ,256018.55603242727
feedback|1 10|20|3|1|1681469250.0857797|                                                                                        ,186284.1471200555
feedback|1 10|20|3|1|1681469250.0857797|                                                                                        ,262144.0
decided|1 10|20|2|1|1681469250.0869684|                                                                                         ,58745.03906335485
decided|1 10|20|2|1|1681469250.0869684|                                                                                         ,69932.3840041683
feedback|1 10|20|2|1|1681469250.0923917|                                                                                        ,35444.042516669964
feedback|1 10|20|2|1|1681469250.0923917|                                                                                        ,28665.220353462544
feedback|2 7|17|1|1|1681469250.175148|                                                                                          ,288950.9752421959
feedback|2 7|17|1|1|1681469250.175148|                                                                                          ,137659.2082051282
ask|2 7|TRANSFER a -> o 4|7|1|1681469250.1756992|                                                                               ,29638.45158440985
feedback|2 7|21|3|1|1681469250.1780834|                                                                                         ,24633.88602367624
ask|2 7|TRANSFER a -> o 4|7|1|1681469250.1756992|                                                                               ,14278.48170212766
feedback|2 7|21|3|1|1681469250.1780834|                                                                                         ,15266.326726760884
decided|2 7|21|3|1|1681469250.1870286|                                                                                          ,212118.10035559066
decided|2 7|21|3|1|1681469250.1870286|                                                                                          ,63414.94353886133
ask|1 11|TRANSFER s -> y 19|11|1|1681469250.5920339|                                                                            ,279474.70692347735
ask|1 11|TRANSFER s -> y 19|11|1|1681469250.5920339|                                                                            ,350437.9321148825
