data, bandwidth
ask|3 1|DEPOSIT p 10|1|3|1681469240.9575763|                                                                                    ,791845.0029498525
feedback|2 1|1|3|3|1681469240.9583592|                                                                                          ,1206451.4876404495
ask|2 1|DEPOSIT p 17|1|3|1681469240.9584467|                                                                                    ,215437.76565008025
feedback|3 1|1|2|3|1681469240.958989|                                                                                           ,305040.2909090909
ask|3 1|DEPOSIT p 10|1|3|1681469240.9575763|                                                                                    ,13412.049064428289
feedback|2 1|1|1|3|1681469240.968677|                                                                                           ,637613.9097387174
feedback|2 1|1|3|3|1681469240.9583592|                                                                                          ,12488.274296347989
ask|2 1|DEPOSIT p 17|1|3|1681469240.9584467|                                                                                    ,11296.8376399293
decided|2 1|1|1|3|1681469240.9699283|                                                                                           ,1102404.3367556469
feedback|1 1|2|3|3|1681469240.970546|                                                                                           ,373865.5376044568
feedback|3 1|1|2|3|1681469240.958989|                                                                                           ,10884.136398653854
feedback|2 1|1|1|3|1681469240.968677|                                                                                           ,35891.891429335476
ask|1 1|DEPOSIT s 82|1|3|1681469240.9706333|                                                                                    ,79998.64580539413
decided|2 1|1|1|3|1681469240.9699283|                                                                                           ,42226.75098316816
decided|3 1|2|1|3|1681469240.9719338|                                                                                           ,105206.919851068
feedback|1 1|2|3|3|1681469240.970546|                                                                                           ,41285.05936634882
feedback|3 1|2|1|3|1681469240.9720616|                                                                                          ,70206.73623643258
ask|1 1|DEPOSIT s 82|1|3|1681469240.9706333|                                                                                    ,34744.42868237122
feedback|1 1|2|2|3|1681469240.9721792|                                                                                          ,60711.40020355083
feedback|1 2|3|3|3|1681469240.9739377|                                                                                          ,98580.77708409842
decided|3 1|2|1|3|1681469240.9719338|                                                                                           ,39677.10531372404
ask|1 2|TRANSFER s -> v 48|2|3|1681469240.9740574|                                                                              ,67268.62698909911
feedback|1 2|3|2|3|1681469240.9752002|                                                                                          ,104267.02505340843
feedback|3 1|2|1|3|1681469240.9720616|                                                                                          ,25468.259582542694
feedback|1 3|4|3|3|1681469240.975598|                                                                                           ,100069.13550792172
feedback|1 1|2|2|3|1681469240.9721792|                                                                                          ,24315.907061008198
ask|1 3|DEPOSIT d 54|3|3|1681469240.975713|                                                                                     ,66436.19750030937
feedback|1 2|3|3|3|1681469240.9739377|                                                                                          ,29509.751662727424
feedback|1 3|4|2|3|1681469240.976708|                                                                                           ,77014.90632620858
decided|1 1|2|2|3|1681469240.9794872|                                                                                           ,940229.2679509632
ask|1 2|TRANSFER s -> v 48|2|3|1681469240.9740574|                                                                              ,17997.08062083068
feedback|1 2|3|2|3|1681469240.9752002|                                                                                          ,19858.36552616978
feedback|1 3|4|3|3|1681469240.975598|                                                                                           ,18774.335991047697
ask|1 3|DEPOSIT d 54|3|3|1681469240.975713|                                                                                     ,17757.77832170145
feedback|1 3|4|2|3|1681469240.976708|                                                                                           ,17828.542888453492
decided|1 1|2|2|3|1681469240.9794872|                                                                                           ,25334.854985607097
decided|1 2|3|2|3|1681469240.9844742|                                                                                           ,725501.2324324325
decided|1 2|3|2|3|1681469240.9844742|                                                                                           ,198180.476928756
decided|1 3|4|2|3|1681469241.0228105|                                                                                           ,368983.44467353955
decided|1 3|4|2|3|1681469241.0228105|                                                                                           ,418449.65861262666
feedback|2 2|5|3|3|1681469241.742652|                                                                                           ,312497.6204889406
feedback|2 2|5|3|3|1681469241.742652|                                                                                           ,273216.74910941476
ask|2 2|DEPOSIT x 12|2|3|1681469241.7430131|                                                                                    ,39293.77969699188
ask|2 2|DEPOSIT x 12|2|3|1681469241.7430131|                                                                                    ,43233.28329843775
feedback|2 2|3|1|3|1681469241.7461023|                                                                                          ,34020.08187060389
feedback|2 2|3|1|3|1681469241.7461023|                                                                                          ,33901.92674917909
decided|2 2|5|3|3|1681469241.7540298|                                                                                           ,445536.0265560166
decided|2 2|5|3|3|1681469241.7540298|                                                                                           ,370000.62853204686
feedback|2 3|6|3|3|1681469241.970549|                                                                                           ,387352.75036075036
feedback|2 3|6|3|3|1681469241.970549|                                                                                           ,245370.61791590494
ask|2 3|TRANSFER p -> b 4|3|3|1681469241.970948|                                                                                ,48873.09167045972
ask|2 3|TRANSFER p -> b 4|3|3|1681469241.970948|                                                                                ,59513.45881831283
feedback|2 3|6|1|3|1681469241.9733984|                                                                                          ,61307.62955350005
feedback|2 3|6|1|3|1681469241.9733984|                                                                                          ,42816.08676927985
decided|2 3|6|1|3|1681469241.9816873|                                                                                           ,407646.85801063024
decided|2 3|6|1|3|1681469241.9816873|                                                                                           ,209715.2
feedback|1 4|7|3|3|1681469242.3061807|                                                                                          ,330382.0996923077
feedback|1 4|7|3|3|1681469242.3061807|                                                                                          ,257368.60594439117
ask|1 4|DEPOSIT j 87|4|3|1681469242.3065329|                                                                                    ,34753.425168306574
ask|1 4|DEPOSIT j 87|4|3|1681469242.3065329|                                                                                    ,39104.88105470173
feedback|1 4|5|2|3|1681469242.3089814|                                                                                          ,38501.93000573723
feedback|1 4|5|2|3|1681469242.3089814|                                                                                          ,26141.642498904417
decided|1 4|7|3|3|1681469242.3177028|                                                                                           ,371536.9633217993
decided|1 4|7|3|3|1681469242.3177028|                                                                                           ,235883.52899824252
feedback|1 5|8|3|3|1681469242.5559933|                                                                                          ,624268.5023255814
feedback|1 5|8|3|3|1681469242.5559933|                                                                                          ,996049.9294990724
ask|1 5|TRANSFER j -> p 40|5|3|1681469242.556164|                                                                               ,103363.67192914902
ask|1 5|TRANSFER j -> p 40|5|3|1681469242.556164|                                                                               ,149048.0044419767
feedback|1 5|8|2|3|1681469242.5570579|                                                                                          ,89807.78052860488
feedback|1 5|8|2|3|1681469242.5570579|                                                                                          ,121107.80780509813
decided|1 5|8|2|3|1681469242.5602262|                                                                                           ,1284380.1722488038
decided|1 5|8|2|3|1681469242.5602262|                                                                                           ,824686.5007680492
ask|3 2|DEPOSIT v 59|2|3|1681469242.9633389|                                                                                    ,178659.20532445924
ask|3 2|DEPOSIT v 59|2|3|1681469242.9633389|                                                                                    ,168986.75228202707
feedback|3 2|7|1|3|1681469242.968864|                                                                                           ,437904.4959216966
feedback|3 2|7|1|3|1681469242.968864|                                                                                           ,287558.0674879486
decided|3 2|9|2|3|1681469242.9709797|                                                                                           ,92103.43317893292
decided|3 2|9|2|3|1681469242.9709797|                                                                                           ,42987.50196172632
feedback|3 2|9|2|3|1681469242.9747612|                                                                                          ,32567.23760994844
feedback|3 2|9|2|3|1681469242.9747612|                                                                                          ,35135.53089005236
feedback|1 6|9|3|3|1681469243.3593838|                                                                                          ,254803.470336972
feedback|1 6|9|3|3|1681469243.3593838|                                                                                          ,308192.25717566017
ask|1 6|TRANSFER v -> j 28|6|3|1681469243.3597703|                                                                              ,38754.848191727426
ask|1 6|TRANSFER v -> j 28|6|3|1681469243.3597703|                                                                              ,42346.65657043698
feedback|1 6|10|2|3|1681469243.3627157|                                                                                         ,39104.88105470173
feedback|1 6|10|2|3|1681469243.3627157|                                                                                         ,29971.021716072126
decided|1 6|10|2|3|1681469243.3722677|                                                                                          ,209879.16810007818
decided|1 6|10|2|3|1681469243.3722677|                                                                                          ,326563.81508515816
ask|3 3|DEPOSIT z 36|3|3|1681469244.4871073|                                                                                    ,173128.3173169945
ask|3 3|DEPOSIT z 36|3|3|1681469244.4871073|                                                                                    ,270736.71810388303
feedback|3 3|11|2|3|1681469244.493426|                                                                                          ,139338.41474175965
feedback|3 3|11|2|3|1681469244.493426|                                                                                          ,272246.91277890466
decided|3 3|11|2|3|1681469244.4940407|                                                                                          ,32770.00012207776
decided|3 3|11|2|3|1681469244.4940407|                                                                                          ,36554.15755429972
feedback|3 3|10|1|3|1681469244.498643|                                                                                          ,17634.703455524897
feedback|3 3|10|1|3|1681469244.498643|                                                                                          ,18753.350286432862
feedback|2 4|11|3|3|1681469244.8089845|                                                                                         ,284359.593220339
feedback|2 4|11|3|3|1681469244.8089845|                                                                                         ,195795.37272064187
ask|2 4|DEPOSIT m 21|4|3|1681469244.8095138|                                                                                    ,37143.41441815414
feedback|2 4|12|1|3|1681469244.8117225|                                                                                         ,22294.377808230554
ask|2 4|DEPOSIT m 21|4|3|1681469244.8095138|                                                                                    ,12364.030030859933
decided|2 4|12|1|3|1681469244.8224256|                                                                                          ,280643.44589649764
feedback|2 4|12|1|3|1681469244.8117225|                                                                                         ,12069.125553582267
decided|2 4|12|1|3|1681469244.8224256|                                                                                          ,31267.962259755386
ask|3 4|DEPOSIT z 21|4|3|1681469245.367743|                                                                                     ,193676.37518037518
ask|3 4|DEPOSIT z 21|4|3|1681469245.367743|                                                                                     ,222953.0365448505
feedback|3 4|12|2|3|1681469245.373661|                                                                                          ,177243.61571475735
feedback|3 4|12|2|3|1681469245.373661|                                                                                          ,316364.7094873306
decided|3 4|13|1|3|1681469245.3750284|                                                                                          ,44713.15999000583
decided|3 4|13|1|3|1681469245.3750284|                                                                                          ,33567.019632362135
feedback|3 4|13|1|3|1681469245.3792748|                                                                                         ,25159.141103144477
feedback|3 4|13|1|3|1681469245.3792748|                                                                                         ,22660.430187405032
ask|3 5|TRANSFER z -> e 53|5|3|1681469245.661816|                                                                               ,195225.78618181817
ask|3 5|TRANSFER z -> e 53|5|3|1681469245.661816|                                                                               ,256507.84137601528
feedback|3 5|14|2|3|1681469245.6670928|                                                                                         ,224632.18075313806
feedback|3 5|14|2|3|1681469245.6670928|                                                                                         ,243589.34301270416
decided|3 5|14|1|3|1681469245.668746|                                                                                           ,53821.64531328321
decided|3 5|14|1|3|1681469245.668746|                                                                                           ,29466.02151481888
feedback|3 5|14|1|3|1681469245.6726947|                                                                                         ,21956.114510060528
feedback|3 5|14|1|3|1681469245.6726947|                                                                                         ,24233.588155637808
feedback|2 5|13|3|3|1681469247.764014|                                                                                          ,341520.9363867685
feedback|2 5|13|3|3|1681469247.764014|                                                                                          ,193188.5253688377
ask|2 5|TRANSFER m -> a 14|5|3|1681469247.764369|                                                                               ,34130.382199618565
ask|2 5|TRANSFER m -> a 14|5|3|1681469247.764369|                                                                               ,14359.060472331434
feedback|2 5|15|1|3|1681469247.7667458|                                                                                         ,25503.344829224265
decided|2 5|15|1|3|1681469247.7774143|                                                                                          ,299927.88379888266
feedback|2 5|15|1|3|1681469247.7667458|                                                                                         ,12563.085880095474
decided|2 5|15|1|3|1681469247.7774143|                                                                                          ,49742.51014546465
feedback|2 6|16|3|3|1681469247.8426502|                                                                                         ,312134.2511627907
feedback|2 6|16|3|3|1681469247.8426502|                                                                                         ,221207.6275236918
ask|2 6|TRANSFER b -> a 3|6|3|1681469247.8430796|                                                                               ,41809.120161981155
ask|2 6|TRANSFER b -> a 3|6|3|1681469247.8430796|                                                                               ,35091.895679456175
feedback|2 6|16|1|3|1681469247.8464396|                                                                                         ,40839.10786551042
feedback|2 6|16|1|3|1681469247.8464396|                                                                                         ,29053.02841062828
decided|2 6|16|1|3|1681469247.8567421|                                                                                          ,195225.78618181817
decided|2 6|16|1|3|1681469247.8567421|                                                                                          ,228650.30323679728
feedback|1 7|17|3|3|1681469248.6691594|                                                                                         ,175965.55621107834
feedback|1 7|17|3|3|1681469248.6691594|                                                                                         ,311952.8832074375
ask|1 7|TRANSFER d -> q 46|7|3|1681469248.669741|                                                                               ,37145.98436310801
feedback|1 7|15|2|3|1681469248.6718774|                                                                                         ,31658.857884184457
ask|1 7|TRANSFER d -> q 46|7|3|1681469248.669741|                                                                               ,10337.163277880469
decided|1 7|17|3|3|1681469248.6844099|                                                                                          ,179916.5254691689
feedback|1 7|15|2|3|1681469248.6718774|                                                                                         ,10033.845026725974
decided|1 7|17|3|3|1681469248.6844099|                                                                                          ,36138.322024771136
feedback|1 8|18|3|3|1681469248.7220333|                                                                                         ,157163.61592505855
feedback|1 8|18|3|3|1681469248.7220333|                                                                                         ,205382.90436113236
ask|1 8|DEPOSIT r 54|8|3|1681469248.722795|                                                                                     ,35644.06532996946
feedback|1 8|18|2|3|1681469248.7253742|                                                                                         ,29367.69935999125
ask|1 8|DEPOSIT r 54|8|3|1681469248.722795|                                                                                     ,14880.014190687361
feedback|1 8|18|2|3|1681469248.7253742|                                                                                         ,16684.927494794418
decided|1 8|18|2|3|1681469248.7341998|                                                                                          ,147047.63407285674
decided|1 8|18|2|3|1681469248.7341998|                                                                                          ,192633.98349479728
feedback|1 9|19|3|3|1681469249.9177542|                                                                                         ,171908.7134165866
feedback|1 9|19|3|3|1681469249.9177542|                                                                                         ,221755.84964890542
ask|1 9|TRANSFER r -> m 27|9|3|1681469249.9183517|                                                                              ,32772.00048834086
ask|1 9|TRANSFER r -> m 27|9|3|1681469249.9183517|                                                                              ,37417.82213548927
feedback|1 9|19|2|3|1681469249.9222233|                                                                                         ,45225.41588745683
feedback|1 9|19|2|3|1681469249.9222233|                                                                                         ,41753.842899362266
decided|1 9|19|2|3|1681469249.9317412|                                                                                          ,180521.49024882313
decided|1 9|19|2|3|1681469249.9317412|                                                                                          ,265909.3174839029
feedback|1 10|20|3|3|1681469250.082678|                                                                                         ,294337.1228070175
feedback|1 10|20|3|3|1681469250.082678|                                                                                         ,219848.85831285833
ask|1 10|DEPOSIT b 93|10|3|1681469250.0831888|                                                                                  ,39880.471846679546
ask|1 10|DEPOSIT b 93|10|3|1681469250.0831888|                                                                                  ,36211.44691757723
feedback|1 10|20|2|3|1681469250.0859716|                                                                                        ,29584.55458202458
feedback|1 10|20|2|3|1681469250.0859716|                                                                                        ,27359.267797992154
decided|1 10|20|2|3|1681469250.0962675|                                                                                         ,189305.68124118476
decided|1 10|20|2|3|1681469250.0962675|                                                                                         ,232713.8760294755
feedback|2 7|21|3|3|1681469250.1747904|                                                                                         ,207206.06406792745
feedback|2 7|21|3|3|1681469250.1747904|                                                                                         ,246610.4327055581
ask|2 7|TRANSFER a -> o 4|7|3|1681469250.1753156|                                                                               ,38293.21768901569
ask|2 7|TRANSFER a -> o 4|7|3|1681469250.1753156|                                                                               ,41390.09421016113
feedback|2 7|17|1|3|1681469250.1794941|                                                                                         ,49705.66725303213
feedback|2 7|17|1|3|1681469250.1794941|                                                                                         ,39368.69634083743
decided|2 7|21|3|3|1681469250.1865566|                                                                                          ,167093.3432928727
decided|2 7|21|3|3|1681469250.1865566|                                                                                          ,204600.19512195123
feedback|1 11|22|3|3|1681469250.5943604|                                                                                        ,208655.6206762534
feedback|1 11|22|3|3|1681469250.5943604|                                                                                        ,279765.9781136008
ask|1 11|TRANSFER s -> y 19|11|3|1681469250.5948951|                                                                            ,41653.41857397781
ask|1 11|TRANSFER s -> y 19|11|3|1681469250.5948951|                                                                            ,36608.99502216161
feedback|1 11|21|2|3|1681469250.5986161|                                                                                        ,56811.73671957672
feedback|1 11|21|2|3|1681469250.5986161|                                                                                        ,38690.61055059095
decided|1 11|22|3|3|1681469250.6079404|                                                                                         ,221390.06680412372
decided|1 11|22|3|3|1681469250.6079404|                                                                                         ,323221.5003010235
ask|3 6|DEPOSIT w 24|6|3|1681469252.3539705|                                                                                    ,205461.50478377345
ask|3 6|DEPOSIT w 24|6|3|1681469252.3539705|                                                                                    ,272385.0390664637
feedback|3 6|23|2|3|1681469252.3606188|                                                                                         ,286790.0170940171
feedback|3 6|23|2|3|1681469252.3606188|                                                                                         ,142330.57051961825
decided|3 6|23|2|3|1681469252.3618805|                                                                                          ,63072.240601503756
decided|3 6|23|2|3|1681469252.3618805|                                                                                          ,46325.904909828285
feedback|3 6|22|1|3|1681469252.3670957|                                                                                         ,34364.136977533126
feedback|3 6|22|1|3|1681469252.3670957|                                                                                         ,29746.836879432623
