data, bandwidth
ask|2 1|DEPOSIT p 17|1|2|1681469240.9576483|                                                                                    ,571747.510117146
feedback|3 1|1|2|2|1681469240.9581523|                                                                                          ,350896.02091503266
ask|3 1|DEPOSIT p 10|1|2|1681469240.9582424|                                                                                    ,152433.53549119818
feedback|2 1|1|3|2|1681469240.9589493|                                                                                          ,221939.19470855725
ask|2 1|DEPOSIT p 17|1|2|1681469240.9576483|                                                                                    ,13831.175597691674
feedback|3 1|1|2|2|1681469240.9581523|                                                                                          ,12753.792897018648
decided|2 1|1|1|2|1681469240.9688258|                                                                                           ,673614.6951066499
ask|3 1|DEPOSIT p 10|1|2|1681469240.9582424|                                                                                    ,11568.499224271678
feedback|2 1|1|3|2|1681469240.9589493|                                                                                          ,11558.287842580034
feedback|2 1|1|1|2|1681469240.9690166|                                                                                          ,125701.45446031375
decided|2 1|1|1|2|1681469240.9688258|                                                                                           ,60342.91469034506
feedback|1 1|2|2|2|1681469240.9704149|                                                                                          ,106543.14586227426
feedback|2 1|1|1|2|1681469240.9690166|                                                                                          ,41358.209074801634
ask|1 1|DEPOSIT s 82|1|2|1681469240.9705276|                                                                                    ,69130.94411537472
feedback|1 1|2|2|2|1681469240.9704149|                                                                                          ,55159.859447241346
feedback|3 1|2|1|2|1681469240.9718254|                                                                                          ,110603.8137618459
ask|1 1|DEPOSIT s 82|1|2|1681469240.9705276|                                                                                    ,43142.95339119254
feedback|1 1|2|3|2|1681469240.9721293|                                                                                          ,79666.25790176584
decided|3 1|2|1|2|1681469240.9737206|                                                                                           ,271695.8056680162
feedback|3 1|2|1|2|1681469240.9718254|                                                                                          ,55999.88651298633
feedback|1 2|3|2|2|1681469240.9738002|                                                                                          ,146886.70642954856
feedback|1 1|2|3|2|1681469240.9721293|                                                                                          ,46422.04167747514
ask|1 2|TRANSFER s -> v 48|2|2|1681469240.9740126|                                                                              ,98148.24716636198
decided|3 1|2|1|2|1681469240.9737206|                                                                                           ,77852.51044083526
feedback|1 3|4|2|2|1681469240.9754717|                                                                                          ,231509.6645105649
feedback|1 2|3|2|2|1681469240.9738002|                                                                                          ,50854.495784787345
ask|1 3|DEPOSIT d 54|3|2|1681469240.975562|                                                                                     ,100013.21013412817
ask|1 2|TRANSFER s -> v 48|2|2|1681469240.9740126|                                                                              ,40323.787892444045
feedback|1 2|3|3|2|1681469240.9758642|                                                                                          ,83068.37567693021
feedback|1 3|4|2|2|1681469240.9754717|                                                                                          ,55848.42525746385
feedback|1 3|4|3|2|1681469240.9775057|                                                                                          ,267899.6566866267
decided|1 1|2|2|2|1681469240.9778688|                                                                                           ,203978.31003039514
ask|1 3|DEPOSIT d 54|3|2|1681469240.975562|                                                                                     ,44855.11838917203
feedback|1 2|3|3|2|1681469240.9758642|                                                                                          ,35446.382675293804
feedback|1 3|4|3|2|1681469240.9775057|                                                                                          ,51335.90667431631
decided|1 2|3|2|2|1681469240.982811|                                                                                            ,432611.5326349718
decided|1 1|2|2|2|1681469240.9778688|                                                                                           ,20749.43619077066
decided|1 2|3|2|2|1681469240.982811|                                                                                            ,64558.79172679173
decided|1 3|4|2|2|1681469241.0226846|                                                                                           ,340438.1179454661
decided|1 3|4|2|2|1681469241.0226846|                                                                                           ,387352.75036075036
ask|2 2|DEPOSIT x 12|2|2|1681469241.7406957|                                                                                    ,245034.64719306253
ask|2 2|DEPOSIT x 12|2|2|1681469241.7406957|                                                                                    ,326167.0182260024
feedback|2 2|5|3|2|1681469241.7454004|                                                                                          ,354604.30118890357
feedback|2 2|5|3|2|1681469241.7454004|                                                                                          ,226050.9103157895
decided|2 2|5|3|2|1681469241.7468154|                                                                                           ,73093.3848876787
decided|2 2|5|3|2|1681469241.7468154|                                                                                           ,51498.408824940045
feedback|2 2|3|1|2|1681469241.750782|                                                                                           ,34353.14256462759
feedback|2 2|3|1|2|1681469241.750782|                                                                                           ,35041.50590692514
ask|2 3|TRANSFER p -> b 4|3|2|1681469241.968389|                                                                                ,249128.03341067286
ask|2 3|TRANSFER p -> b 4|3|2|1681469241.968389|                                                                                ,343487.4676903391
feedback|2 3|6|3|2|1681469241.973069|                                                                                           ,249359.45750116117
feedback|2 3|6|3|2|1681469241.973069|                                                                                           ,393024.093704246
decided|2 3|6|1|2|1681469241.9742513|                                                                                           ,58919.10798946444
decided|2 3|6|1|2|1681469241.9742513|                                                                                           ,30727.50183150183
feedback|2 3|6|1|2|1681469241.9786508|                                                                                          ,36469.7311323959
feedback|2 3|6|1|2|1681469241.9786508|                                                                                          ,36373.36802168022
feedback|1 4|5|2|2|1681469242.3064232|                                                                                          ,207687.00657640232
feedback|1 4|5|2|2|1681469242.3064232|                                                                                          ,327160.82388787327
ask|1 4|DEPOSIT j 87|4|2|1681469242.3069446|                                                                                    ,53563.894243240546
feedback|1 4|7|3|2|1681469242.3091724|                                                                                          ,94105.33076248904
ask|1 4|DEPOSIT j 87|4|2|1681469242.3069446|                                                                                    ,17122.884225298207
feedback|1 4|7|3|2|1681469242.3091724|                                                                                          ,17845.729025395558
decided|1 4|7|3|2|1681469242.3173702|                                                                                           ,201603.79722117912
decided|1 4|7|3|2|1681469242.3173702|                                                                                           ,148388.8645660586
feedback|1 5|8|2|2|1681469242.5560956|                                                                                          ,516718.87584215595
feedback|1 5|8|2|2|1681469242.5560956|                                                                                          ,1209168.7207207207
ask|1 5|TRANSFER j -> p 40|5|2|1681469242.5562756|                                                                              ,141841.72047556142
feedback|1 5|8|3|2|1681469242.5568566|                                                                                          ,77807.37855072464
ask|1 5|TRANSFER j -> p 40|5|2|1681469242.5562756|                                                                              ,50282.93640535731
feedback|1 5|8|3|2|1681469242.5568566|                                                                                          ,49349.288721389836
decided|1 5|8|2|2|1681469242.5603023|                                                                                           ,659546.5749385749
decided|1 5|8|2|2|1681469242.5603023|                                                                                           ,1296789.6425120772
feedback|3 2|9|2|2|1681469242.9663153|                                                                                          ,278604.52101712505
feedback|3 2|9|2|2|1681469242.9663153|                                                                                          ,266834.4493041749
ask|3 2|DEPOSIT v 59|2|2|1681469242.966674|                                                                                     ,41237.4922805131
feedback|3 2|7|1|2|1681469242.9686341|                                                                                          ,42612.184459084056
ask|3 2|DEPOSIT v 59|2|2|1681469242.966674|                                                                                     ,14482.234415041406
decided|3 2|9|2|2|1681469242.9779415|                                                                                           ,352046.49967213115
feedback|3 2|7|1|2|1681469242.9686341|                                                                                          ,13538.884147879155
decided|3 2|9|2|2|1681469242.9779415|                                                                                           ,39417.83494860499
