msg_id,first_node_process_time,last_node_process_time
3 1,0.09034466743469238, 0.10589838027954102
2 1,0.09812784194946289, 0.11625909805297852
2 2,0.10729575157165527, 0.12661433219909668
1 1,0.10170149803161621, 0.12057971954345703
1 2,0.11402535438537598, 0.12908267974853516
1 3,0.11940383911132812, 0.1306440830230713
2 3,0.1361374855041504, 0.14125895500183105
1 4,0.13025331497192383, 0.1344003677368164
1 5,0.1314859390258789, 0.13515543937683105
2 4,0.1423196792602539, 0.1456601619720459
1 6,0.13468122482299805, 0.13927173614501953
1 7,0.010023832321166992, 0.014172554016113281
3 2,0.011905431747436523, 0.01520991325378418
3 3,0.012986898422241211, 0.0291593074798584
1 8,0.023619890213012695, 0.030054092407226562
2 5,0.014865875244140625, 0.01806163787841797
2 6,0.011167049407958984, 0.015443801879882812
1 9,0.011895418167114258, 0.015631437301635742
3 4,0.011167049407958984, 0.016457319259643555
3 5,0.010174751281738281, 0.015022516250610352
3 6,0.010105371475219727, 0.018374204635620117
3 7,0.010481119155883789, 0.015623331069946289
2 7,0.012269258499145508, 0.017674684524536133
3 8,0.011494159698486328, 0.01651787757873535
2 8,0.011511087417602539, 0.016188859939575195
2 9,0.010102272033691406, 0.015420675277709961
1 10,0.0035753250122070312, 0.004053354263305664
2 10,0.01531362533569336, 0.017396211624145508
1 11,0.011129140853881836, 0.016204833984375
3 9,0.010238885879516602, 0.01435089111328125
3 10,0.010884523391723633, 0.015696048736572266
2 11,0.013510465621948242, 0.015087604522705078
2 12,0.013373136520385742, 0.01787734031677246
3 11,0.01025390625, 0.0157623291015625
1 12,0.012590646743774414, 0.014719486236572266
3 12,0.012015581130981445, 0.01634526252746582
2 13,0.011872529983520508, 0.013806343078613281
2 14,0.01242971420288086, 0.014749765396118164
1 13,0.01294398307800293, 0.017670869827270508
1 14,0.0073206424713134766, 0.009457826614379883
2 15,0.0022203922271728516, 0.002752542495727539
2 16,0.0018756389617919922, 0.002615690231323242
1 15,0.007088661193847656, 0.00890970230102539
2 17,0.007531642913818359, 0.009982109069824219
