data, bandwidth
ask|1 1|DEPOSIT a 26|1|1|1681472255.1888509|                                                                                    ,485416.7377938517
ask|1 1|DEPOSIT a 26|1|1|1681472255.1888509|                                                                                    ,414252.2469135802
ask|1 2|DEPOSIT q 21|2|1|1681472255.1894612|                                                                                    ,165292.7684729064
ask|1 2|DEPOSIT q 21|2|1|1681472255.1894612|                                                                                    ,158696.69287614545
ask|1 3|DEPOSIT f 60|3|1|1681472255.1900115|                                                                                    ,124419.67833140209
ask|1 3|DEPOSIT f 60|3|1|1681472255.1900115|                                                                                    ,4281.301381988692
ask|1 4|DEPOSIT e 37|4|1|1681472255.1905818|                                                                                    ,4161.2738885099525
ask|1 4|DEPOSIT e 37|4|1|1681472255.1905818|                                                                                    ,3959.283411259753
ask|1 5|TRANSFER f -> j 2|5|1|1681472255.1910605|                                                                               ,3953.2193864777696
ask|1 5|TRANSFER f -> j 2|5|1|1681472255.1910605|                                                                               ,3643.1866343654783
ask|1 6|TRANSFER e -> r 13|6|1|1681472255.1914432|                                                                              ,3608.512706766412
ask|1 6|TRANSFER e -> r 13|6|1|1681472255.1914432|                                                                              ,3434.5670381411774
feedback|3 1|1|1|1|1681472255.2179968|                                                                                          ,11030.838545305116
ask|3 1|DEPOSIT o 27|1|1|1681472255.2190733|                                                                                    ,9899.522643457738
feedback|3 1|1|1|1|1681472255.2179968|                                                                                          ,9880.392955076652
ask|3 1|DEPOSIT o 27|1|1|1681472255.2190733|                                                                                    ,8667.176468688956
feedback|2 1|2|1|1|1681472255.218616|                                                                                           ,8487.809270853095
feedback|2 1|2|1|1|1681472255.218616|                                                                                           ,7364.28235165016
ask|2 1|DEPOSIT y 57|1|1|1681472255.2202368|                                                                                    ,6966.016763980797
ask|2 1|DEPOSIT y 57|1|1|1681472255.2202368|                                                                                    ,7269.846741323511
feedback|2 1|1|3|1|1681472255.2214038|                                                                                          ,6703.010362823682
feedback|2 1|1|3|1|1681472255.2214038|                                                                                          ,6252.718455195546
feedback|2 2|3|1|1|1681472255.222471|                                                                                           ,6225.745204907577
feedback|2 2|3|1|1|1681472255.222471|                                                                                           ,5867.505786948491
ask|2 2|TRANSFER y -> d 53|2|1|1681472255.22273|                                                                                ,5522.113431116414
ask|2 2|TRANSFER y -> d 53|2|1|1681472255.22273|                                                                                ,5394.549009756734
feedback|3 1|1|2|1|1681472255.2261934|                                                                                          ,5931.8819967736945
feedback|3 1|1|2|1|1681472255.2261934|                                                                                          ,5985.182965440356
feedback|2 2|2|3|1|1681472255.227203|                                                                                           ,5602.559973284912
feedback|2 2|2|3|1|1681472255.227203|                                                                                           ,5654.605999325919
feedback|2 3|4|1|1|1681472255.230743|                                                                                           ,6064.008313190413
feedback|2 3|4|1|1|1681472255.230743|                                                                                           ,5853.49562790292
ask|2 3|TRANSFER d -> q 10|3|1|1681472255.2312863|                                                                              ,5542.522629666336
ask|2 3|TRANSFER d -> q 10|3|1|1681472255.2312863|                                                                              ,5581.649030514113
feedback|1 1|3|3|1|1681472255.2354677|                                                                                          ,6128.313589406997
feedback|1 1|3|3|1|1681472255.2354677|                                                                                          ,6179.595662883584
feedback|2 4|5|1|1|1681472255.237703|                                                                                           ,6133.354414906378
feedback|2 4|5|1|1|1681472255.237703|                                                                                           ,5974.925011685624
ask|2 4|DEPOSIT l 64|4|1|1681472255.2381258|                                                                                    ,5597.536408374343
ask|2 4|DEPOSIT l 64|4|1|1681472255.2381258|                                                                                    ,5419.872718462284
feedback|1 2|4|3|1|1681472255.2400763|                                                                                          ,5691.532864048851
feedback|1 2|4|3|1|1681472255.2400763|                                                                                          ,5394.982685679258
decided|1 1|3|3|1|1681472255.242204|                                                                                            ,5688.095693171585
decided|1 1|3|3|1|1681472255.242204|                                                                                            ,5439.75228484001
feedback|1 1|2|2|1|1681472255.2425082|                                                                                          ,5173.911357394111
feedback|1 1|2|2|1|1681472255.2425082|                                                                                          ,5073.57902794447
feedback|1 3|5|3|1|1681472255.2449777|                                                                                          ,5197.402726146221
feedback|1 3|5|3|1|1681472255.2449777|                                                                                          ,5255.659876065824
decided|1 2|4|3|1|1681472255.2458673|                                                                                           ,4833.887776417201
decided|1 2|4|3|1|1681472255.2458673|                                                                                           ,4870.902848847759
feedback|1 2|3|2|1|1681472255.2462044|                                                                                          ,4373.907580003911
feedback|2 3|6|3|1|1681472255.2473783|                                                                                          ,4291.911455044009
feedback|1 2|3|2|1|1681472255.2462044|                                                                                          ,3816.853019380341
decided|1 3|5|3|1|1681472255.2520018|                                                                                           ,4684.737452006981
feedback|2 3|6|3|1|1681472255.2473783|                                                                                          ,3716.578485735845
feedback|1 3|4|2|1|1681472255.2524095|                                                                                          ,4085.7755859969557
decided|1 3|5|3|1|1681472255.2520018|                                                                                           ,3949.206379097275
feedback|1 4|7|3|1|1681472255.2531822|                                                                                          ,3951.7644564833354
decided|1 4|7|3|1|1681472255.2562883|                                                                                           ,4181.2050684963515
feedback|1 4|5|2|1|1681472255.2566476|                                                                                          ,3939.614103834159
feedback|1 3|4|2|1|1681472255.2524095|                                                                                          ,3254.256172147295
feedback|1 5|8|3|1|1681472255.2571015|                                                                                          ,3723.3574589083846
feedback|1 4|7|3|1|1681472255.2531822|                                                                                          ,3170.0731713077776
feedback|2 4|9|3|1|1681472255.261023|                                                                                           ,3870.511520604435
decided|1 5|8|3|1|1681472255.2648442|                                                                                           ,4149.40612899486
decided|1 4|7|3|1|1681472255.2562883|                                                                                           ,3202.198011416165
feedback|1 5|6|2|1|1681472255.265413|                                                                                           ,3591.542205750525
feedback|1 6|10|3|1|1681472255.266131|                                                                                          ,3457.571209603668
feedback|1 4|5|2|1|1681472255.2566476|                                                                                          ,2674.8055043494724
decided|1 6|10|3|1|1681472255.269225|                                                                                           ,3594.163014734925
feedback|1 5|8|3|1|1681472255.2571015|                                                                                          ,2616.916618735194
feedback|2 4|9|3|1|1681472255.261023|                                                                                           ,2768.874452667681
decided|1 5|8|3|1|1681472255.2648442|                                                                                           ,2921.4920714386776
feedback|1 6|7|2|1|1681472255.26957|                                                                                            ,3161.5605022024356
feedback|1 5|6|2|1|1681472255.265413|                                                                                           ,2826.588492966052
decided|3 1|1|1|1|1681472255.2744179|                                                                                           ,3459.621038522509
feedback|1 6|10|3|1|1681472255.266131|                                                                                          ,2790.868038696866
decided|1 6|10|3|1|1681472255.269225|                                                                                           ,2900.139434633938
decided|2 1|2|1|1|1681472255.2865455|                                                                                           ,4895.10747207659
decided|2 2|3|1|1|1681472255.2967381|                                                                                           ,6561.048455888643
decided|2 3|6|3|1|1681472255.3098385|                                                                                           ,14673.415108778834
feedback|1 6|7|2|1|1681472255.26957|                                                                                            ,2227.818793700853
decided|3 1|1|1|1|1681472255.2744179|                                                                                           ,2369.485481756754
decided|2 1|2|1|1|1681472255.2865455|                                                                                           ,2953.361491448595
decided|2 4|9|3|1|1681472255.3309488|                                                                                           ,132790.23299530052
decided|2 2|3|1|1|1681472255.2967381|                                                                                           ,3656.8349669307213
decided|2 3|6|3|1|1681472255.3098385|                                                                                           ,5106.830834791873
decided|2 4|9|3|1|1681472255.3309488|                                                                                           ,23248.20993374616
ask|1 7|TRANSFER j -> h 2|7|1|1681472257.0872989|                                                                               ,259860.07357212005
