data, bandwidth
ask|2 1|DEPOSIT y 57|1|2|1681472255.1802678|                                                                                    ,489845.7226277372
ask|2 2|TRANSFER y -> d 53|2|2|1681472255.180871|                                                                               ,375434.2041958042
feedback|3 1|1|2|2|1681472255.1811323|                                                                                          ,174082.65629053177
ask|3 1|DEPOSIT o 27|1|2|1681472255.1812904|                                                                                    ,127431.97531450274
ask|2 1|DEPOSIT y 57|1|2|1681472255.1802678|                                                                                    ,15903.987676630033
ask|2 3|TRANSFER d -> q 10|3|2|1681472255.181412|                                                                               ,3570.878780421292
ask|2 2|TRANSFER y -> d 53|2|2|1681472255.180871|                                                                               ,3221.528295659792
feedback|2 1|1|3|2|1681472255.1820185|                                                                                          ,3230.3285378195756
feedback|3 1|1|2|2|1681472255.1811323|                                                                                          ,3060.069948245594
ask|2 4|DEPOSIT l 64|4|2|1681472255.182182|                                                                                     ,3114.5882011683966
ask|3 1|DEPOSIT o 27|1|2|1681472255.1812904|                                                                                    ,2812.6537613227365
feedback|1 1|2|2|2|1681472255.1900856|                                                                                          ,3419.1243917972233
ask|2 3|TRANSFER d -> q 10|3|2|1681472255.181412|                                                                               ,2708.9381739284004
ask|1 1|DEPOSIT a 26|1|2|1681472255.190189|                                                                                     ,3224.101370422417
feedback|2 1|1|3|2|1681472255.1820185|                                                                                          ,2567.13899355431
feedback|1 2|3|2|2|1681472255.2173743|                                                                                          ,8968.02659316796
ask|2 4|DEPOSIT l 64|4|2|1681472255.182182|                                                                                     ,2456.411824724674
feedback|2 2|2|3|2|1681472255.217479|                                                                                           ,6903.227578403261
feedback|1 1|2|2|2|1681472255.1900856|                                                                                          ,2646.3137991373997
ask|1 2|DEPOSIT q 21|2|2|1681472255.2178085|                                                                                    ,6312.860542777857
ask|1 1|DEPOSIT a 26|1|2|1681472255.190189|                                                                                     ,2432.152505900634
feedback|1 3|4|2|2|1681472255.222143|                                                                                           ,6279.559178899351
feedback|1 2|3|2|2|1681472255.2173743|                                                                                          ,4678.042870586595
feedback|2 2|2|3|2|1681472255.217479|                                                                                           ,4399.210999852505
ask|1 3|DEPOSIT f 60|3|2|1681472255.222494|                                                                                     ,5411.077859640989
ask|1 2|DEPOSIT q 21|2|2|1681472255.2178085|                                                                                    ,4228.129032258064
feedback|1 4|5|2|2|1681472255.225665|                                                                                           ,5529.621093830467
feedback|1 3|4|2|2|1681472255.222143|                                                                                           ,4618.4430470127745
ask|1 3|DEPOSIT f 60|3|2|1681472255.222494|                                                                                     ,4199.651994336538
ask|1 4|DEPOSIT e 37|4|2|1681472255.2259262|                                                                                    ,4818.140235311011
feedback|1 4|5|2|2|1681472255.225665|                                                                                           ,4457.542796888103
feedback|1 1|3|3|2|1681472255.2267463|                                                                                          ,4457.949946026738
ask|1 4|DEPOSIT e 37|4|2|1681472255.2259262|                                                                                    ,4083.7554634313315
feedback|1 5|6|2|2|1681472255.2279267|                                                                                          ,4407.047323532068
feedback|1 1|3|3|2|1681472255.2267463|                                                                                          ,3811.893638926165
ask|1 5|TRANSFER f -> j 2|5|2|1681472255.2283254|                                                                               ,3854.228552557899
feedback|1 6|7|2|2|1681472255.2301745|                                                                                          ,3820.8733328588714
feedback|1 5|6|2|2|1681472255.2279267|                                                                                          ,3729.2025228529355
ask|1 5|TRANSFER f -> j 2|5|2|1681472255.2283254|                                                                               ,3373.957793391234
ask|1 6|TRANSFER e -> r 13|6|2|1681472255.2305083|                                                                              ,3683.9856447838824
feedback|1 6|7|2|2|1681472255.2301745|                                                                                          ,3428.8418457608177
feedback|1 2|4|3|2|1681472255.2312455|                                                                                          ,3468.6288966849506
ask|1 6|TRANSFER e -> r 13|6|2|1681472255.2305083|                                                                              ,3255.2624966651306
feedback|3 1|1|1|2|1681472255.2333963|                                                                                          ,3497.8266042075225
feedback|1 2|4|3|2|1681472255.2312455|                                                                                          ,3077.7176532636236
feedback|1 3|5|3|2|1681472255.2371962|                                                                                          ,3475.5225024599927
decided|2 1|2|1|2|1681472255.2379436|                                                                                           ,3425.49456383033
feedback|3 1|1|1|2|1681472255.2333963|                                                                                          ,3061.8325909788246
feedback|1 3|5|3|2|1681472255.2371962|                                                                                          ,3079.854013091093
decided|2 1|2|1|2|1681472255.2379436|                                                                                           ,2964.990953774783
feedback|2 1|2|1|2|1681472255.238338|                                                                                           ,2841.263327247228
feedback|2 3|6|3|2|1681472255.239615|                                                                                           ,2846.732162551964
feedback|2 1|2|1|2|1681472255.238338|                                                                                           ,2601.408645343231
decided|2 2|3|1|2|1681472255.245327|                                                                                            ,3069.658036776141
