data, bandwidth
decided|2 1|2|1|3|1681472255.282827|                                                                                            ,11251.852957203337
feedback|1 6|7|2|3|1681472255.2644026|                                                                                          ,4211.016471621749
decided|1 1|3|3|3|1681472255.2667115|                                                                                           ,4355.208540532648
decided|1 2|4|3|3|1681472255.2747421|                                                                                           ,5127.9028043096205
decided|1 3|5|3|3|1681472255.2830005|                                                                                           ,9698.513476407255
decided|2 1|2|1|3|1681472255.282827|                                                                                            ,6780.470983467839
decided|1 4|7|3|3|1681472255.2887232|                                                                                           ,9690.810685920578
decided|1 3|5|3|3|1681472255.2830005|                                                                                           ,6006.6784367692635
decided|2 2|3|1|3|1681472255.2927215|                                                                                           ,10267.770420945933
decided|1 4|7|3|3|1681472255.2887232|                                                                                           ,7402.767563393682
decided|1 5|8|3|3|1681472255.2988143|                                                                                           ,16665.763705221332
decided|2 2|3|1|3|1681472255.2927215|                                                                                           ,8934.744241778724
decided|1 5|8|3|3|1681472255.2988143|                                                                                           ,13530.353889966986
decided|2 3|6|3|3|1681472255.3094711|                                                                                           ,156067.12558139535
decided|2 3|6|3|3|1681472255.3094711|                                                                                           ,113695.6611605252
decided|1 6|10|3|3|1681472255.3095727|                                                                                          ,52209.56063405621
decided|1 6|10|3|3|1681472255.3095727|                                                                                          ,38167.987487558654
decided|2 4|9|3|3|1681472255.3310819|                                                                                           ,221116.52059308073
decided|2 4|9|3|3|1681472255.3310819|                                                                                           ,231111.025398192
feedback|1 7|11|3|3|1681472257.0899022|                                                                                         ,162442.0308623298
feedback|1 7|11|3|3|1681472257.0899022|                                                                                         ,365965.1751874574
ask|1 7|TRANSFER j -> h 2|7|3|1681472257.0906|                                                                                  ,43039.19448452782
feedback|1 7|11|2|3|1681472257.0927162|                                                                                         ,32019.497345977215
ask|1 7|TRANSFER j -> h 2|7|3|1681472257.0906|                                                                                  ,17608.098130534603
feedback|1 7|11|2|3|1681472257.0927162|                                                                                         ,17048.933375674816
decided|1 7|11|2|3|1681472257.1012251|                                                                                          ,160547.52153110047
decided|1 7|11|2|3|1681472257.1012251|                                                                                          ,217444.67881733496
ask|3 2|DEPOSIT e 34|2|3|1681472258.439626|                                                                                     ,244143.20691223282
ask|3 2|DEPOSIT e 34|2|3|1681472258.439626|                                                                                     ,260870.2196307094
feedback|3 2|12|2|3|1681472258.4453654|                                                                                         ,210868.3864886096
feedback|3 2|12|2|3|1681472258.4453654|                                                                                         ,343707.3700384123
decided|3 2|12|2|3|1681472258.4465718|                                                                                          ,80070.23296047725
decided|3 2|12|2|3|1681472258.4465718|                                                                                          ,35997.78141343704
feedback|3 2|10|1|3|1681472258.4525113|                                                                                         ,46309.92081428448
feedback|3 2|10|1|3|1681472258.4525113|                                                                                         ,41406.05522134814
ask|3 3|TRANSFER e -> i 31|3|3|1681472259.498913|                                                                               ,222398.88649544324
ask|3 3|TRANSFER e -> i 31|3|3|1681472259.498913|                                                                               ,242818.1420171868
feedback|3 3|13|2|3|1681472259.505611|                                                                                          ,155030.58388680336
feedback|3 3|13|2|3|1681472259.505611|                                                                                          ,209551.48790007806
